date,timestamp,id,seq,rtt,iat,length,seq_difference,session_start,has_reply
2026-03-23,10:35:57.109351,958,3,1.5e-05,0.200185,64,1,0,1
2026-03-23,10:35:57.309493,958,4,1.6e-05,0.200142,64,1,0,1
2026-03-23,10:35:57.509644,958,5,1.6e-05,0.200151,64,1,0,1
2026-03-23,10:35:57.709800,958,6,1.6e-05,0.200156,64,1,0,1
2026-03-23,10:35:57.909951,958,7,1.6e-05,0.200151,64,1,0,1
2026-03-23,10:35:58.110112,958,8,1.7e-05,0.200161,64,1,0,1
2026-03-23,10:35:58.310280,958,9,1.8e-05,0.200168,64,1,0,1
2026-03-23,10:35:58.510442,958,10,1.6e-05,0.200162,64,1,0,1
2026-03-23,10:35:58.762476,959,0,2e-05,0.252034,64,1,1,1
2026-03-23,10:35:58.962663,959,1,1.5e-05,0.200187,64,1,0,1
2026-03-23,10:35:59.162803,959,2,1.6e-05,0.20014,64,1,0,1
2026-03-23,10:35:59.362971,959,3,1.6e-05,0.200168,64,1,0,1
2026-03-23,10:35:59.563129,959,4,1.6e-05,0.200158,64,1,0,1
2026-03-23,10:35:59.763316,959,5,1.6e-05,0.200187,64,1,0,1
2026-03-23,10:35:59.963453,959,6,1.6e-05,0.200137,64,1,0,1
2026-03-23,10:36:00.163589,959,7,1.7e-05,0.200136,64,1,0,1
2026-03-23,10:36:00.363766,959,8,1.6e-05,0.200177,64,1,0,1
2026-03-23,10:36:00.563944,959,9,1.6e-05,0.200178,64,1,0,1
2026-03-23,10:36:00.764064,959,10,1.6e-05,0.20012,64,1,0,1
2026-03-23,10:36:01.016093,960,0,2.1e-05,0.252029,64,1,1,1
2026-03-23,10:36:01.216225,960,1,3.5e-05,0.200132,64,1,0,1
2026-03-23,10:36:01.416416,960,2,1.6e-05,0.200191,64,1,0,1
2026-03-23,10:36:01.616573,960,3,1.6e-05,0.200157,64,1,0,1
2026-03-23,10:36:01.816745,960,4,1.6e-05,0.200172,64,1,0,1
2026-03-23,10:36:02.016912,960,5,1.6e-05,0.200167,64,1,0,1
2026-03-23,10:36:02.317120,960,6,3.1e-05,0.300208,64,1,0,1
2026-03-23,10:36:02.517225,960,7,3.1e-05,0.200105,64,1,0,1
2026-03-23,10:36:02.717375,960,8,3.2e-05,0.20015,64,1,0,1
